date,year_pillar,month_pillar,day_pillar,match_day,western_moment
2026-01-01,Wood Snake,Earth Rat,Wood Pig,,New Year's Day
2026-01-02,Wood Snake,Earth Rat,Fire Rat,month=day,
2026-01-07,Wood Snake,Earth Rat,Metal Snake,year=day,
2026-01-14,Wood Snake,Earth Rat,Earth Rat,month=day,
2026-01-19,Wood Snake,Earth Ox,Water Snake,year=day,
2026-01-27,Wood Snake,Earth Ox,Metal Ox,month=day,
2026-01-31,Wood Snake,Earth Ox,Wood Snake,year=day,
2026-02-08,Wood Snake,Earth Ox,Water Ox,month=day,
2026-02-12,Wood Snake,Earth Ox,Fire Snake,year=day,
2026-02-14,Wood Snake,Earth Ox,Earth Sheep,,Valentine's Day
2026-02-21,Fire Horse,Metal Tiger,Fire Tiger,month=day,
2026-02-25,Fire Horse,Metal Tiger,Metal Horse,year=day,
2026-03-05,Fire Horse,Metal Tiger,Earth Tiger,month=day,
2026-03-09,Fire Horse,Metal Tiger,Water Horse,year=day,
2026-03-17,Fire Horse,Metal Tiger,Metal Tiger,month=day,St. Patrick's Day
2026-03-21,Fire Horse,Metal Rabbit,Wood Horse,year=day,
2026-03-30,Fire Horse,Metal Rabbit,Water Rabbit,month=day,
2026-04-02,Fire Horse,Metal Rabbit,Fire Horse,year=day,
2026-04-11,Fire Horse,Metal Rabbit,Wood Rabbit,month=day,
2026-04-14,Fire Horse,Metal Rabbit,Earth Horse,year=day,
2026-04-24,Fire Horse,Water Dragon,Earth Dragon,month=day,
2026-04-26,Fire Horse,Water Dragon,Metal Horse,year=day,
2026-05-06,Fire Horse,Water Dragon,Metal Dragon,month=day,
2026-05-08,Fire Horse,Water Dragon,Water Horse,year=day,
2026-05-19,Fire Horse,Water Snake,Water Snake,month=day,
2026-05-20,Fire Horse,Water Snake,Wood Horse,year=day,
2026-05-31,Fire Horse,Water Snake,Wood Snake,month=day,
2026-06-01,Fire Horse,Water Snake,Fire Horse,year=day,
2026-06-12,Fire Horse,Water Snake,Fire Snake,month=day,
2026-06-13,Fire Horse,Water Snake,Earth Horse,year=day,
2026-06-15,Fire Horse,Wood Horse,Metal Monkey,year=month,
2026-06-16,Fire Horse,Wood Horse,Metal Rooster,year=month,
2026-06-17,Fire Horse,Wood Horse,Water Dog,year=month,
2026-06-18,Fire Horse,Wood Horse,Water Pig,year=month,
2026-06-19,Fire Horse,Wood Horse,Wood Rat,year=month,
2026-06-20,Fire Horse,Wood Horse,Wood Ox,year=month,
2026-06-21,Fire Horse,Wood Horse,Fire Tiger,year=month,
2026-06-22,Fire Horse,Wood Horse,Fire Rabbit,year=month,
2026-06-23,Fire Horse,Wood Horse,Earth Dragon,year=month,
2026-06-24,Fire Horse,Wood Horse,Earth Snake,year=month,
